기간,구분,신체,정서,성,방임,신체와 정서,신체와 성,신체와 방임,정서와 성,정서와 방임,성과 방임,신체와 정서와 성,신체와 정서와 방임,신체와 성과 방임,정서와 성과 방임,신체와 정서와 성과 방임
2013,중앙,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,서울,109,98,25,294,187,3,24,3,35,2,6,27,0,0,2
2013,부산,21,42,5,71,99,0,7,0,29,0,2,18,0,0,1
2013,대구,30,25,6,38,66,0,3,1,7,2,2,11,0,0,0
2013,인천,30,52,2,121,67,0,15,1,29,1,6,16,0,0,0
2013,광주,24,17,6,37,29,1,2,0,1,0,0,1,0,0,0
2013,대전,10,47,10,50,59,0,3,0,17,0,0,10,0,0,2
2013,울산,2,43,3,30,49,0,0,1,13,0,2,4,0,0,0
2013,경기,273,213,76,294,421,6,43,10,71,0,14,88,0,4,3
2013,강원,49,41,6,76,51,0,3,2,2,0,0,6,0,0,0
2013,충북,17,80,12,102,84,0,7,0,54,0,2,25,0,2,2
2013,충남,12,58,10,122,84,0,2,5,22,0,2,30,0,0,0
2013,전북,47,167,21,169,97,4,15,3,78,0,2,37,0,0,1
2013,전남,51,65,17,98,92,3,4,0,21,0,4,15,0,2,0
2013,경북,34,85,24,118,128,3,11,0,27,1,4,32,0,1,2
2013,경남,20,56,15,128,186,1,14,3,54,0,7,85,0,0,6
2013,제주,24,12,4,29,50,0,0,0,11,0,0,6,0,0,1
2014,중앙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,서울,183,120,31,155,335,2,13,6,53,1,4,48,1,0,2
2014,부산,101,49,3,73,120,0,6,0,21,0,3,16,0,0,0
2014,대구,39,57,7,62,168,1,6,2,8,0,0,12,0,0,0
2014,인천,43,47,5,95,220,0,17,0,29,0,1,38,0,0,0
2014,광주,58,17,12,28,38,0,1,1,6,0,0,3,0,0,0
2014,대전,32,64,3,55,105,1,8,0,8,0,2,7,0,0,1
2014,울산,54,45,5,57,149,0,5,0,17,0,0,16,0,0,0
2014,경기,454,401,69,423,847,6,50,8,97,1,13,125,0,1,6
2014,강원,90,68,9,65,100,1,11,3,10,1,3,3,0,0,0
2014,충북,24,91,21,96,163,0,12,2,12,3,7,23,0,1,0
2014,충남,38,55,18,130,159,0,12,1,42,0,2,24,0,2,0
2014,전북,80,164,39,220,213,5,22,5,93,2,1,87,1,0,0
2014,전남,84,79,52,143,216,0,7,3,23,1,6,25,0,2,0
2014,경북,76,130,10,112,214,2,6,6,23,0,5,28,0,0,1
2014,경남,61,142,21,98,289,0,13,2,59,0,3,59,0,0,2
2014,제주,36,53,3,58,104,0,2,0,12,0,1,17,0,1,1
2015,중앙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,서울,259,218,35,138,410,2,15,10,30,0,9,51,0,1,1
2015,부산,109,83,24,87,158,5,8,4,27,0,2,18,0,0,0
2015,대구,63,73,7,59,114,0,7,2,11,0,2,8,0,0,1
2015,인천,79,54,4,115,189,0,14,2,27,0,1,26,0,0,0
2015,광주,83,29,8,27,85,1,1,4,6,0,2,5,0,0,2
