기간,구분,"개별상담(+집단,기관,주변인)",검진및검사+심리검사,통원치료+)입원심리,가정지원서비스,사회보장서비스기관연결,공적지원연결,일시보호서비스,처리지원,"기타: 임시조치, 조건부기소유예,보호처분, 법률자문, 형벌과 수감명령 외 기타 ",,,,,
2013,피해아동서비스,121321,2629,26529,18648,5161,257,103191,691,8824,,,,,
2014,피해아동서비스,142101,2871,30401,11411,488,256,103342,1743,8968,,,,,
2015,피해아동서비스,227448,4359,45872,10737,951,543,135497,10359,12978,,,,,
2016,피해아동서비스,291048,4941,54137,14639,1248,526,189878,22529,17064,,,,,
2017,피해아동서비스,308712,3625,65877,19163,9518,717,28969,34589,30295,,,,,
2018,피해아동서비스,295312,3120,56478,21998,11381,553,18353,31698,22986,,,,,
2015,학대행위자서비스,96697,1040,11914,1142,175,60,0,466,7068,,,,,
2016,학대행위자서비스,141163,1463,15039,2365,270,29,0,647,16289,,,,,
2017,학대행위자서비스,1992,18775,7827,1269,176,2185,25,5425,28442,,,,,
2018,학대행위자서비스,823,17177,9350,1709,183,1930,16,5141,26182,,,,,
2015,부모 및 가족 서비스,111278,972,7158,2343,141,54,0,0,2823,,,,,
2016,부모 및 가족 서비스,159250,1244,8278,3631,238,63,0,0,4062,,,,,
2017,부모 및 가족 서비스,141600,868,14684,12078,1099,192,2479,3142,10781,,,,,
2018,부모 및 가족 서비스,105996,754,10597,10775,1329,84,1043,1955,4587,,,,,
