기간,2015,2016,2017,2018,2019
구분,총합,총합,총합,총합,총합
아동학대의심사례 응급아동학대의심사례,14399,23082,28829,32345,36920
의료사회복지사,0,619,6881,7756,12389
일반상담,3048,4619,5328,6089,6506
교직원,2172,3978,5168,6406,5901
의료인,1500,2322,3883,4512,4752
동일신고,2465,3604,2951,2464,2560
해외발생사례,2252,2796,2094,1187,1460
아동복지시설종사자,1040,1858,1963,1859,1718
"유치원교직원,강사",578,727,914,34,68
보육교직원,602,815,819,658,266
학원강사,452,657,738,607,647
성매매피해시설상담소종사자,305,649,685,443,597
장애인복지시설종사자,846,1426,645,406,291
사회복지전담공무원,257,498,407,411,337
아이돌보미,231,341,359,403,307
취약계층아동통합서비스지원인력,210,312,357,276,266
아동학대의심사례,3590,4088,323,275,959
아동보호전문기관장과 종사자,0,2,317,255,293
소방구급대원,309,286,313,213,448
가정위탁지원센터종사자,137,216,296,325,293
건강가정지원센터종사자,87,189,292,420,449
아동보호전문기관상담원,140,223,274,168,286
아동복지전담공무원,134,244,271,228,275
종교인,9,1,271,211,11
가족폭력상담소보호시설종사자,285,301,169,283,125
사회복지시설종사자,68,114,115,115,140
법원,0,0,79,66,25
정신보건센터종사자,30,11,48,31,26
다문화가족지원센터종사자,72,122,43,121,128
친인척,19,44,38,48,67
성폭력피해자보호시설종사자,58,98,33,52,200
"형제,자매",22,39,33,24,32
의료기사,46,27,33,56,38
낯선사람,0,695,27,72,26
부모,27,40,24,18,24
한부모가족복지시설종사자,298,296,20,25,225
사회복지관련종사자,5,11,16,14,16
"청소년보호센터,재활센터종사자",31,24,9,18,32
"이웃,친구",12,12,9,8,4
익명,0,2,8,11,1
아동본인,28,75,4,4,105
경찰,11,3,3,1,0
"청소년시설,단체종사자",41,35,2,0,82
응급구조사,49,51,1,4,63
